layer,feature,feature_id,graph_count,form_count,forms,families
19,5911,L19_F5911,2,1,explicit,"addition,multiplication"
19,7370,L19_F7370,2,1,explicit,addition
19,7492,L19_F7492,2,1,explicit,"addition,subtraction"
19,14422,L19_F14422,2,1,explicit,addition
20,148,L20_F148,2,1,explicit,"addition,multiplication"
20,945,L20_F945,2,1,explicit,"addition,subtraction"
20,2615,L20_F2615,2,1,explicit,addition
20,4597,L20_F4597,2,1,explicit,addition
20,5865,L20_F5865,2,1,explicit,addition
20,14080,L20_F14080,2,1,explicit,addition
20,14176,L20_F14176,2,1,explicit,"addition,multiplication"
20,14666,L20_F14666,2,1,explicit,"addition,multiplication"
20,15034,L20_F15034,2,1,explicit,addition
20,15497,L20_F15497,2,1,explicit,addition
21,14111,L21_F14111,2,1,implicit,addition
22,2967,L22_F2967,2,1,explicit,addition
22,14403,L22_F14403,2,1,explicit,addition
22,16256,L22_F16256,2,1,applied,"addition,subtraction"
23,4057,L23_F4057,2,1,explicit,addition
23,11185,L23_F11185,2,1,explicit,addition
23,11717,L23_F11717,2,1,explicit,addition
23,15454,L23_F15454,2,1,explicit,"addition,subtraction"
24,3865,L24_F3865,2,1,explicit,"multiplication,subtraction"
24,4121,L24_F4121,2,1,applied,addition
24,5197,L24_F5197,2,1,explicit,addition
24,7767,L24_F7767,2,1,explicit,"addition,multiplication"
24,9915,L24_F9915,2,1,explicit,addition
24,11207,L24_F11207,2,2,"applied,explicit","multiplication,subtraction"
24,14654,L24_F14654,2,1,explicit,"addition,subtraction"
24,15320,L24_F15320,2,1,explicit,addition
25,2173,L25_F2173,2,1,implicit,addition
25,2178,L25_F2178,2,1,explicit,addition
25,10885,L25_F10885,2,1,implicit,addition
25,11779,L25_F11779,2,1,implicit,addition
25,13870,L25_F13870,2,1,explicit,"addition,multiplication"
0,762,L0_F762,1,1,explicit,subtraction
0,1426,L0_F1426,1,1,explicit,addition
0,3255,L0_F3255,1,1,applied,subtraction
